,userID
0,6
1,9
2,14
3,15
4,16
5,17
6,18
7,19
8,21
9,23
10,24
11,25
12,26
13,27
14,30
15,33
16,34
17,35
18,36
19,39
20,41
21,42
22,43
23,49
24,52
25,54
26,55
27,57
28,58
29,59
30,63
31,65
32,66
33,69
34,77
35,78
36,80
37,82
38,84
39,86
40,93
41,95
42,97
43,99
44,100
45,103
46,105
47,106
48,109
49,111
50,112
51,114
52,115
53,116
54,117
55,119
56,121
57,122
58,124
59,126
60,128
61,131
62,132
63,134
64,136
65,143
66,147
67,149
68,151
69,156
70,157
71,158
72,159
73,162
74,164
75,165
76,168
77,174
78,176
79,181
80,184
81,185
82,186
83,187
84,190
85,192
86,193
87,194
88,196
89,199
90,205
91,209
92,212
93,214
94,220
95,221
96,222
97,229
98,230
99,231
100,233
101,234
102,238
103,241
104,247
105,250
106,253
107,255
108,257
109,258
110,259
111,260
112,262
113,263
114,264
115,265
116,267
117,273
118,274
119,275
120,276
121,277
122,281
123,282
124,294
125,295
126,297
127,301
128,305
129,308
130,311
131,312
132,313
133,319
134,321
135,322
136,326
137,328
138,329
139,332
140,336
141,341
142,342
143,343
144,344
145,347
146,348
147,349
148,350
149,355
150,356
151,358
152,359
153,364
154,365
155,366
156,371
157,372
158,373
159,374
160,376
161,378
162,381
163,386
164,387
165,389
166,394
167,396
168,397
169,398
170,400
171,402
172,403
173,404
174,406
175,408
176,416
177,417
178,418
179,419
180,421
181,422
182,424
183,425
184,427
185,430
186,434
187,435
188,437
189,439
190,441
191,442
192,443
193,449
194,452
195,453
196,455
197,459
198,462
199,463
200,466
201,470
202,473
203,474
204,479
205,480
206,485
207,486
208,487
209,488
210,489
211,490
212,495
213,497
214,499
215,502
216,504
217,506
218,507
219,508
220,510
221,511
222,512
223,513
224,520
225,522
226,525
227,527
228,536
229,537
230,539
231,540
232,545
233,552
234,553
235,556
236,559
237,562
238,569
239,570
240,571
241,573
242,575
243,577
244,578
245,580
246,583
247,589
248,591
249,592
250,594
251,596
252,598
253,599
254,601
255,602
256,606
257,610
258,615
259,618
260,619
261,620
262,621
263,623
